;CO(GT);PT08.S1(CO);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);T;RH;AH;Month;Hour
0;2.6;1360.0;166.0;1056.0;113.0;1692.0;13.6;48.9;0.7578;3;18
1;2.0;1292.0;103.0;1174.0;92.0;1559.0;13.3;47.7;0.7255;3;19
2;2.2;1402.0;131.0;1140.0;114.0;1555.0;11.9;54.0;0.7502;3;2
3;2.2;1376.0;172.0;1092.0;122.0;1584.0;11.0;60.0;0.7867;3;21
4;1.6;1272.0;131.0;1205.0;116.0;1490.0;11.2;59.6;0.7888;3;22
5;1.2;1197.0;89.0;1337.0;96.0;1393.0;11.2;59.2;0.7848;3;23
6;1.2;1185.0;62.0;1462.0;77.0;1333.0;11.3;56.8;0.7603;3;0
7;1.0;1136.0;62.0;1453.0;76.0;1333.0;10.7;60.0;0.7702;3;1
8;0.9;1094.0;45.0;1579.0;60.0;1276.0;10.7;59.7;0.7648;3;2
9;0.6;1010.0;246.8967349054159;1705.0;113.09125081011017;1235.0;10.3;60.2;0.7517;3;3
10;2.1527495439145166;1011.0;21.0;1818.0;34.0;1197.0;10.1;60.5;0.7465;3;4
11;0.7;1066.0;16.0;1918.0;28.0;1182.0;11.0;56.2;0.7366;3;5
12;0.7;1052.0;34.0;1738.0;48.0;1221.0;10.5;58.1;0.7353;3;6
13;1.1;1144.0;98.0;1490.0;82.0;1339.0;10.2;59.6;0.7417;3;7
14;2.0;1333.0;174.0;1136.0;112.0;1517.0;10.8;57.4;0.7408;3;8
15;2.2;1351.0;129.0;1079.0;101.0;1583.0;10.5;60.6;0.7691;3;9
16;1.7;1233.0;112.0;1218.0;98.0;1446.0;10.8;58.4;0.7552;3;1
17;1.5;1179.0;95.0;1328.0;92.0;1362.0;10.5;57.9;0.7352;3;11
18;1.6;1236.0;104.0;1301.0;95.0;1401.0;9.5;66.8;0.7951;3;12
19;1.9;1286.0;146.0;1162.0;112.0;1537.0;8.3;76.4;0.8393;3;13
20;2.9;1371.0;207.0;983.0;128.0;1730.0;8.0;81.1;0.8736;3;14
21;2.2;1310.0;184.0;1082.0;126.0;1647.0;8.3;79.8;0.8778;3;15
22;2.2;1292.0;193.0;1103.0;131.0;1591.0;9.7;71.2;0.8569;3;16
23;2.9;1383.0;243.0;1008.0;135.0;1719.0;9.8;67.6;0.8185;3;17
24;4.8;1581.0;281.0;799.0;151.0;2083.0;10.3;64.2;0.8065;3;18
25;6.9;1776.0;383.0;702.0;172.0;2333.0;9.7;69.3;0.8319;3;19
26;6.1;1640.0;351.0;743.0;165.0;2191.0;9.6;67.8;0.8133;3;2
27;3.9;1313.0;240.0;957.0;136.0;1707.0;9.1;64.0;0.7419;3;21
28;1.5;965.0;94.0;1325.0;85.0;1333.0;8.2;63.4;0.6905;3;22
29;1.0;913.0;47.0;1565.0;53.0;1252.0;8.2;60.8;0.6657;3;23
30;1.7;1080.0;122.0;1254.0;97.0;1375.0;8.3;58.5;0.6438;3;0
31;1.9;1044.0;133.0;1247.0;110.0;1378.0;7.7;59.7;0.6308;3;1
32;1.4;988.0;82.0;1396.0;91.0;1304.0;7.1;61.8;0.6276;3;2
33;0.8;889.0;246.8967349054159;1680.0;113.09125081011017;1187.0;7.0;62.3;0.6261;3;3
34;2.1527495439145166;831.0;21.0;1893.0;32.0;1134.0;6.1;65.9;0.6248;3;4
35;0.6;847.0;30.0;1895.0;44.0;1155.0;6.3;65.0;0.6233;3;5
36;0.8;927.0;56.0;1685.0;71.0;1223.0;6.8;62.9;0.6234;3;6
37;1.4;1091.0;109.0;1387.0;104.0;1361.0;6.4;65.1;0.6316;3;7
38;4.4;1587.0;307.0;897.0;141.0;1900.0;7.3;63.1;0.6499;3;8
39;2.1527495439145166;1545.0;246.8967349054159;767.0;113.09125081011017;2058.0;9.2;56.2;0.6561;3;9
40;3.1;1350.0;187.0;912.0;122.0;1712.0;13.2;41.7;0.632;3;1
41;2.7;1263.0;216.0;969.0;143.0;1598.0;14.3;38.4;0.6243;3;11
42;2.1;1206.0;143.0;1035.0;113.0;1537.0;15.0;36.5;0.6195;3;12
43;2.5;1252.0;160.0;1008.0;116.0;1593.0;16.1;34.5;0.6262;3;13
44;2.7;1287.0;163.0;949.0;123.0;1660.0;16.3;35.7;0.656;3;14
45;2.9;1353.0;190.0;922.0;126.0;1740.0;15.8;37.0;0.661;3;15
46;2.8;1309.0;178.0;954.0;120.0;1657.0;15.9;37.2;0.6657;3;16
47;2.4;1274.0;150.0;1006.0;119.0;1610.0;16.9;34.3;0.6549;3;17
48;3.9;1510.0;206.0;812.0;149.0;1910.0;15.1;39.6;0.6766;3;18
49;3.7;1525.0;202.0;821.0;145.0;1847.0;14.4;43.4;0.7084;3;19
50;6.6;1843.0;340.0;624.0;170.0;2390.0;12.9;50.5;0.7478;3;2
51;4.4;1598.0;274.0;752.0;149.0;1941.0;12.1;53.3;0.7536;3;21
52;3.5;1484.0;253.0;839.0;139.0;1723.0;11.0;59.1;0.774;3;22
53;5.4;1677.0;300.0;741.0;134.0;2062.0;9.7;64.6;0.7771;3;23
54;2.7;1280.0;193.0;963.0;113.0;1544.0;9.5;64.1;0.7597;3;0
55;1.9;1196.0;139.0;1071.0;97.0;1463.0;9.1;63.9;0.7423;3;1
56;1.6;1184.0;83.0;1176.0;82.0;1365.0;8.8;63.9;0.7256;3;2
57;1.7;1172.0;246.8967349054159;1179.0;113.09125081011017;1380.0;7.8;67.5;0.7173;3;3
58;2.1527495439145166;1147.0;109.0;1132.0;83.0;1412.0;7.0;71.1;0.7158;3;4
59;1.0;978.0;62.0;1420.0;65.0;1274.0;8.3;63.6;0.6982;3;5
60;1.2;1100.0;53.0;1406.0;60.0;1268.0;7.2;67.5;0.6887;3;6
61;1.5;1112.0;139.0;1228.0;77.0;1409.0;6.3;71.9;0.6932;3;7
62;2.7;1336.0;256.0;935.0;96.0;1678.0;6.5;71.6;0.6945;3;8
63;3.7;1408.0;295.0;830.0;119.0;1777.0;9.6;59.7;0.7124;3;9
64;3.2;1447.0;250.0;869.0;126.0;1667.0;12.4;51.2;0.7335;3;1
65;4.1;1542.0;296.0;808.0;158.0;1780.0;15.6;42.2;0.7451;3;11
66;3.6;1451.0;239.0;875.0;161.0;1679.0;18.4;33.8;0.709;3;12
67;2.8;1328.0;153.0;987.0;124.0;1600.0;19.4;31.3;0.695;3;13
68;2.0;1207.0;118.0;1088.0;102.0;1488.0;18.0;34.8;0.7127;3;14
69;2.0;1240.0;119.0;1049.0;116.0;1532.0;18.4;33.6;0.7042;3;15
70;2.5;1306.0;138.0;1004.0;124.0;1554.0;17.6;35.1;0.7012;3;16
71;2.3;1326.0;148.0;976.0;125.0;1602.0;16.7;37.8;0.7117;3;17
72;3.2;1473.0;227.0;831.0;148.0;1779.0;16.1;41.0;0.7451;3;18
73;4.2;1609.0;277.0;758.0;165.0;1922.0;15.8;42.4;0.7569;3;19
74;4.2;1611.0;279.0;754.0;161.0;1915.0;15.7;44.1;0.7786;3;2
75;4.2;1621.0;283.0;762.0;159.0;1860.0;15.3;46.8;0.8091;3;21
76;3.1;1444.0;214.0;844.0;143.0;1748.0;14.6;48.6;0.806;3;22
77;2.6;1418.0;172.0;892.0;130.0;1603.0;14.7;49.3;0.8193;3;23
78;2.9;1534.0;190.0;889.0;129.0;1611.0;13.9;53.6;0.8498;3;0
79;2.8;1484.0;174.0;880.0;119.0;1624.0;14.6;51.5;0.8536;3;1
80;2.5;1367.0;128.0;953.0;104.0;1543.0;12.5;58.9;0.8537;3;2
81;2.4;1344.0;246.8967349054159;921.0;113.09125081011017;1620.0;11.6;63.4;0.8674;3;3
82;2.1527495439145166;1130.0;70.0;1130.0;82.0;1452.0;12.1;61.1;0.8603;3;4
83;1.2;1062.0;53.0;1272.0;70.0;1377.0;11.5;63.1;0.8533;3;5
84;1.0;1076.0;44.0;1395.0;63.0;1333.0;11.6;62.2;0.8473;3;6
85;0.9;1028.0;74.0;1384.0;67.0;1340.0;10.4;67.6;0.853;3;7
