;T
0;0.33333333333333337
1;0.32688172043010755
2;0.2967741935483871
3;0.2774193548387097
4;0.2817204301075269
5;0.2817204301075269
6;0.28387096774193554
7;0.2709677419354839
8;0.2709677419354839
9;0.2623655913978495
10;0.25806451612903225
11;0.2774193548387097
12;0.2666666666666667
13;0.2602150537634409
14;0.27311827956989254
15;0.2666666666666667
16;0.27311827956989254
17;0.2666666666666667
18;0.24516129032258066
19;0.21935483870967745
20;0.21290322580645163
21;0.21935483870967745
22;0.24946236559139787
23;0.2516129032258065
24;0.2623655913978495
25;0.24946236559139787
26;0.24731182795698925
27;0.23655913978494625
28;0.2172043010752688
29;0.2172043010752688
30;0.21935483870967745
31;0.20645161290322583
32;0.1935483870967742
33;0.1913978494623656
34;0.17204301075268819
35;0.1763440860215054
36;0.1870967741935484
37;0.178494623655914
38;0.19784946236559142
39;0.23870967741935484
40;0.3247311827956989
41;0.34838709677419355
42;0.36344086021505384
43;0.3870967741935485
44;0.39139784946236567
45;0.38064516129032266
46;0.3827956989247312
47;0.4043010752688172
48;0.3655913978494624
49;0.3505376344086022
50;0.3182795698924732
51;0.30107526881720437
52;0.2774193548387097
53;0.24946236559139787
54;0.24516129032258066
55;0.23655913978494625
56;0.23010752688172045
57;0.20860215053763442
58;0.1913978494623656
59;0.21935483870967745
60;0.1956989247311828
61;0.1763440860215054
62;0.1806451612903226
63;0.24731182795698925
64;0.3075268817204302
65;0.3763440860215054
66;0.4365591397849462
67;0.4580645161290323
68;0.42795698924731185
69;0.4365591397849462
70;0.4193548387096775
71;0.4
72;0.3870967741935485
73;0.38064516129032266
74;0.378494623655914
75;0.36989247311827966
76;0.3548387096774194
77;0.356989247311828
78;0.3397849462365592
79;0.3548387096774194
80;0.3096774193548387
81;0.2903225806451613
82;0.30107526881720437
83;0.2881720430107527
84;0.2903225806451613
85;0.2645161290322581
86;0.2903225806451613
87;0.3075268817204302
88;0.35268817204301073
89;0.4043010752688172
90;0.4559139784946237
91;0.49677419354838714
92;0.5010752688172043
93;0.5118279569892473
94;0.5182795698924731
95;0.4989247311827958
96;0.46451612903225814
97;0.4365591397849462
98;0.4193548387096775
99;0.4
100;0.39139784946236567
101;0.356989247311828
102;0.35913978494623655
103;0.3419354838709677
104;0.3290322580645162
105;0.31182795698924737
106;0.30537634408602155
107;0.2967741935483871
108;0.2860215053763441
109;0.28387096774193554
110;0.3075268817204302
111;0.35913978494623655
112;0.4150537634408602
113;0.4666666666666667
114;0.513978494623656
115;0.5419354838709678
116;0.5548387096774194
117;0.5655913978494624
118;0.5655913978494624
119;0.5526881720430108
120;0.524731182795699
121;0.4795698924731183
122;0.43440860215053767
123;0.4
124;0.378494623655914
125;0.36989247311827966
126;0.34408602150537637
127;0.35913978494623655
128;0.35913978494623655
129;0.33333333333333337
130;0.30537634408602155
131;0.31612903225806455
132;0.2817204301075269
133;0.2774193548387097
134;0.2924731182795699
135;0.33333333333333337
136;0.42365591397849467
137;0.5010752688172043
138;0.5655913978494624
139;0.5849462365591399
140;0.5956989247311829
141;0.6215053763440861
142;0.6473118279569893
143;0.6430107526881721
144;0.5548387096774194
145;0.4989247311827958
146;0.4795698924731183
147;0.44946236559139785
148;0.4258064516129032
149;0.4
150;0.37419354838709684
151;0.37419354838709684
152;0.34408602150537637
153;0.32258064516129037
154;0.3139784946236559
155;0.29462365591397854
156;0.2967741935483871
157;0.2537634408602151
158;0.27956989247311825
159;0.34408602150537637
160;0.421505376344086
161;0.4946236559139786
162;0.5634408602150538
163;0.5913978494623657
164;0.5978494623655914
165;0.6172043010752689
166;0.6709677419354839
167;0.6537634408602151
168;0.5978494623655914
169;0.5376344086021506
170;0.48172043010752696
171;0.4516129032258065
172;0.410752688172043
173;0.38494623655913984
174;0.35913978494623655
175;0.34838709677419355
176;0.35913978494623655
177;0.3397849462365592
178;0.2903225806451613
179;0.2989247311827957
180;0.2752688172043011
181;0.26881720430107525
182;0.2881720430107527
183;0.34838709677419355
184;0.42365591397849467
185;0.4881720430107528
186;0.5526881720430108
187;0.5612903225806453
188;0.5827956989247313
189;0.6215053763440861
190;0.6236559139784947
191;0.5956989247311829
192;0.535483870967742
193;0.48602150537634414
194;0.4408602150537635
195;0.38494623655913984
196;0.35268817204301073
197;0.32258064516129037
198;0.2989247311827957
199;0.2967741935483871
200;0.3096774193548387
201;0.3096774193548387
202;0.30537634408602155
203;0.3096774193548387
204;0.30537634408602155
205;0.3075268817204302
206;0.3204301075268817
207;0.33333333333333337
208;0.3397849462365592
209;0.35268817204301073
210;0.37419354838709684
211;0.3870967741935485
212;0.39139784946236567
213;0.3935483870967742
214;0.3870967741935485
215;0.38494623655913984
216;0.38064516129032266
217;0.37419354838709684
218;0.3720430107526882
219;0.367741935483871
220;0.356989247311828
221;0.3462365591397849
222;0.33763440860215055
223;0.3397849462365592
